trailer_title,url,imdb_id,year,rating,votes,genre
THE BIG PARADE trailer,https://archive.org/download/TheBigParadeTrailer/TheBigParadeTrailer.mp4,0015624,1925,7.9,6148.0,Drama|Romance|War
ALL QUIET ON THE WESTERN FRONT 1930 trailer,https://archive.org/download/AllQuietOnTheWesternFront1930Trailer/AllQuietOnTheWesternFront1930Trailer.mp4,0020629,1930,8.0,56948.0,Drama|War
THE OREGON TRAIL trailer,https://archive.org/download/TheOregonTrailTrailer/TheOregonTrailTrailer.mp4,0020691,1926,7.2,3353.0,Adventure|Romance|Western
FIVE STAR FINAL trailer,https://archive.org/download/FiveStarFinalTrailer/FiveStarFinalTrailer.mp4,0021873,1931,7.2,1790.0,Crime|Drama
LITTLE CAESAR trailer,https://archive.org/download/LittleCaesarTrailer/LittleCaesarTrailer.mp4,0021079,1931,7.3,11958.0,Action|Crime|Drama|Romance
BLONDE CRAZY trailer,https://archive.org/download/BlondeCrazyTrailer/BlondeCrazyTrailer.mp4,0021673,1931,7.1,1690.0,Comedy|Crime|Drama|Romance
DR JEKYLL AND MR HYDE 1941 trailer.,https://archive.org/download/DrJekyllMrHyde1941Trailer/DrJekyllMrHyde1941Trailer.mp4,0022835,1941,7.6,12469.0,Horror|Sci-Fi
THE PUBLIC ENEMY mini trailer,https://archive.org/download/ThePublicEnemyMiniTrailer/ThePublicEnemyMiniTrailer.mp4,0022286,1931,7.7,17632.0,Crime|Drama
OTHER MEN'S WOMEN trailer,https://archive.org/download/OtherMensWomenTrailer/OtherMensWomenTrailer.mp4,0022236,1931,6.5,1097.0,Drama|Romance
THE PURCHASE PRICE trailer,https://archive.org/download/ThePurchasePriceTrailer/ThePurchasePriceTrailer.mp4,0023362,1932,6.4,1378.0,Comedy|Drama
MURDERS IN THE RUE MORGUE trailer,https://archive.org/download/MurdersInTheRueMorgueTrailer/MurdersInTheRueMorgueTrailer.mp4,0023249,1932,6.4,3808.0,Crime|Horror|Mystery|Romance
PACK UP YOUR TROUBLES trailer,https://archive.org/download/PackUpYourTroublesTrailer/PackUpYourTroublesTrailer.mp4,0023312,1932,7.3,2076.0,Comedy|War
LOVE ME TONIGHT trailer,https://archive.org/download/LoveMeTonightTrailer/LoveMeTonightTrailer.mp4,0023158,1932,7.6,3544.0,Comedy|Musical|Romance
